parliament,constituency,winner,winner_coalition,winner_party,votes_winner,votes_winner_pct,opponent,opponent_coalition,opponent_party,votes_opponent,votes_opponent_pct,majority,incumbent,incumbent_coalition,incumbent_party,eligible_voters,malay_voters_pct,chinese_voters_pct,indian_voters_pct,other_voters_pct,muslim_bumiputera_voters_pct,nonmuslim_bumiputera_voters_pct,voter_turnout,voter_turnout_pct,spoilt_votes,spoilt_votes_pct,parliament_number,state,parliament_status,incumbent_contesting
P001,Padang Besar,Azmi Khalid,BN,UMNO,16991,58,Zolkharnain Abidin,PR,PAS,11643,39.7,5348,Azmi Khalid,BN,UMNO,36613,84,12,NA,4,NA,NA,29310,80.1,674,2.3,1,Perlis,Government,Yes
P002,Kangar,Mohd Radzi Sheikh Ahmad,BN,UMNO,23821,68.2,Tunku Abdul Rahman Tunku Ismail,PR,PKR,10150,29,13671,Mohd Radzi Sheikh Ahmad,BN,UMNO,43591,79,18,2,NA,NA,NA,34946,80.2,808,2.3,2,Perlis,Government,Yes
P003,Arau,Ismail Kassim,BN,UMNO,16451,49.4,Haron Din,PR,PAS,16151,48.5,300,Syed Razlan Syed Putra Jamalullail,BN,UMNO,39877,87,9,NA,3,NA,NA,33276,83.5,586,1.8,3,Perlis,Government,No
P004,Langkawi,Abu Bakar Taib,BN,UMNO,13762,59.1,Wan Salleh Wan Isa,PR,PKR,8792,37.8,4970,Abu Bakar Taib,BN,UMNO,29567,91,7,2,NA,NA,NA,23273,78.7,670,2.9,4,Kedah,Government,Yes
P005,Jerlun,Mukhriz Mahathir,BN,UMNO,19424,52.2,Idris Ahmad,PR,PAS,17219,46.2,2205,Abdul Rahman Ariffin,BN,UMNO,45513,90,8,NA,2,NA,NA,37242,81.8,599,1.6,5,Kedah,Government,No
P006,Kubang Pasu,Mohd Johari Baharum,BN,UMNO,24179,57.3,Abdul Isa Ismail,PR,PAS,17119,40.5,7060,Mohd Johari Baharum,BN,UMNO,53323,96,3,NA,NA,NA,NA,42226,79.2,928,2.2,6,Kedah,Government,Yes
P007,Padang Terap,Mohd Nasir Zakaria,PR,PAS,15003,49.3,Ghazali Ibrahim,BN,UMNO,14634,48.1,369,Ghazali Ibrahim,BN,UMNO,35403,93,NA,NA,6,NA,NA,30445,86,770,2.5,7,Kedah,Opposition,Yes
P008,Pokok Sena,Mahfuz Omar,PR,PAS,29687,53.7,Abdul Rahman Ibrahim,BN,UMNO,23956,43.3,5731,Abdul Rahman Ibrahim,BN,UMNO,69631,79,18,2,NA,NA,NA,55318,79.4,1039,1.9,8,Kedah,Opposition,Yes
P009,Alor Setar,Chor Chee Heung,BN,MCA,20741,48,Gooi Hsiao-Leung,PR,PKR,20557,47.6,184,Chor Chee Heung,BN,MCA,58957,63,33,4,NA,NA,NA,43206,73.3,1757,4.1,9,Kedah,Government,Yes
P010,Kuala Kedah,Ahmad Kassim,PR,PKR,35689,54.3,Hashim Jahaya,BN,UMNO,28671,43.6,7018,Hashim Jahaya,BN,UMNO,83142,79,20,NA,NA,NA,NA,65750,79.1,1385,2.1,10,Kedah,Opposition,Yes
P011,Pendang,Mohd Hayati Othman,PR,PAS,27311,52.9,Md Rozai Shafian,BN,UMNO,23238,45,4073,Mohd Hayati Othman,BA,PAS,61346,89,6,NA,5,NA,NA,51645,84.2,991,1.9,11,Kedah,Opposition,Yes
P012,Jerai,Mohd Firdaus Jaafar,PR,PAS,26510,51.2,Badruddin Amiruldin,BN,UMNO,24211,46.7,2299,Badruddin Amiruldin,BN,UMNO,65739,79,14,6,NA,NA,NA,51791,78.8,1070,2.1,12,Kedah,Opposition,Yes
P013,Sik,Che Uda Che Nik,PR,PAS,16864,48.5,Othman Desa,BN,UMNO,16383,47.1,481,Wan Azmi Wan Ariffin,BN,UMNO,40339,93,2,NA,5,NA,NA,34752,86.2,505,1.5,13,Kedah,Opposition,No
P014,Merbok,Rashid Din,PR,PKR,25541,51.4,Tajul Urus Mat Zain,BN,UMNO,22443,45.1,3098,Zainuddin Maidin,BN,UMNO,64443,66,16,17,NA,NA,NA,49718,77.2,1338,2.7,14,Kedah,Opposition,No
P015,Sungai Petani,Johari Abdul,PR,PKR,33822,57,Zainuddin Maidin,BN,UMNO,24441,41.2,9381,Mahadzir Mohd Khir,BN,UMNO,76284,60,29,11,NA,NA,NA,59378,77.8,986,1.7,15,Kedah,Opposition,No
P016,Baling,Taib Azamudden Md Taib,PR,PAS,36074,54.9,Abdul Azeez Abdul Rahim,BN,UMNO,28461,43.3,7613,Mashitah Ibrahim,BN,UMNO,78784,88,6,5,NA,NA,NA,65764,83.5,1154,1.8,16,Kedah,Opposition,No
P017,Padang Serai,Gobalakrishnan Nagapan,PR,PKR,28774,61.1,Boey Chin Gan,BN,MCA,17036,36.2,11738,Lim Bee Kau,BN,MCA,59218,55,23,22,NA,NA,NA,47125,79.6,1259,2.7,17,Kedah,Opposition,No
P018,Kulim-Bandar Baharu,Zulkifli Noordin,PR,PKR,22255,55.4,Abd. Aziz Sheikh Fadzir,BN,UMNO,16672,41.5,5583,Abdul Kadir Sheikh Fadzir,BN,UMNO,51995,70,19,12,NA,NA,NA,40182,77.3,1022,2.5,18,Kedah,Opposition,No
P019,Tumpat,Kamarudin Jaffar,PR,PAS,36714,56.3,Asyraf Wajdi Dusuki,BN,UMNO,27337,41.9,9377,Kamarudin Jaffar,BA,PAS,80072,92,3,NA,4,NA,NA,65254,81.5,1032,1.6,19,Kelantan,Opposition,Yes
P020,Pengkalan Chepa,Abdul Halim Abdul Rahman,PR,PAS,26763,62.2,Rahim Mohd Zain,BN,UMNO,15452,35.9,11311,Abdul Halim Abdul Rahman,BA,PAS,52350,98,2,NA,NA,NA,NA,43049,82.2,564,1.3,20,Kelantan,Opposition,Yes
P021,Kota Bharu,Wan Abdul Rahim Wan Abdullah,PR,PAS,32129,59.8,Mohamad Fatmi Che Salleh,BN,UMNO,20841,38.8,11288,Zaid Ibrahim,BN,UMNO,68261,81,18,NA,NA,NA,NA,53710,78.7,609,1.1,21,Kelantan,Opposition,No
