parliament,constituency,constituency_old_name,winner,winner_coalition,winner_party,votes_winner,votes_winner_pct,opponent,opponent_coalition,opponent_party,votes_opponent,votes_opponent_pct,majority,incumbent,incumbent_coalition,incumbent_party,eligible_voters,voter_turnout,voter_turnout_pct,spoilt_votes,spoilt_votes_pct,parliament_number,state,parliament_status,incumbent_contesting
P001,Padang Besar,NA,Zahidi Zainul Abidin  ,BN,UMNO,15032,32.6,Izizam Ibrahim  ,PH,PPBM,13594,29.5,1438,Zahidi Zainul Abidin  ,BN,UMNO,46098,37432,81.2,932,81.2,1,Perlis,Opposition,Yes
P001,Padang Besar,NA,Zahidi Zainul Abidin  ,BN,UMNO,15032,32.6,Mokhtar Senik  ,GS,PAS,7874,17.1,1438,Zahidi Zainul Abidin  ,BN,UMNO,46098,37432,81.2,932,81.2,1,Perlis,Opposition,Yes
P002,Kangar,NA,Noor Amin Ahmad  ,PH,PKR,20909,37.4,Ramli Shariff  ,BN,UMNO,15306,27.4,5603,Shaharuddin Ismail  ,BN,UMNO,55940,45703,81.7,1023,81.7,2,Perlis,Government,No
P002,Kangar,NA,Noor Amin Ahmad  ,PH,PKR,20909,37.4,Mohamad Zahid Ibrahim  ,GS,PAS,8465,15.1,5603,Shaharuddin Ismail  ,BN,UMNO,55940,45703,81.7,1023,81.7,2,Perlis,Government,No
P003,Arau,NA,Shahidan Kassim  ,BN,UMNO,16547,34.3,Abd Rahman Daud  ,PH,PPBM,11691,24.3,4856,Shahidan Kassim  ,BN,UMNO,48191,40433,83.9,833,83.9,3,Perlis,Opposition,Yes
P003,Arau,NA,Shahidan Kassim  ,BN,UMNO,16547,34.3,Hashim Jasin ,GS,PAS,11362,23.6,4856,Shahidan Kassim  ,BN,UMNO,48191,40433,83.9,833,83.9,3,Perlis,Opposition,Yes
P004,Langkawi,NA,Mahathir Mohamad ,PH,PPBM,18954,44.4,Nawawi Ahmad  ,BN,UMNO,10061,23.6,8893,Nawawi Ahmad  ,BN,UMNO,42675,35250,82.6,723,82.6,4,Kedah,Government,Yes
P004,Langkawi,NA,Mahathir Mohamad ,PH,PPBM,18954,44.4,Zubir Ahmad  ,GS,PAS,5512,12.9,8893,Nawawi Ahmad  ,BN,UMNO,42675,35250,82.6,723,82.6,4,Kedah,Government,Yes
P005,Jerlun,NA,Mukhriz Mahathir ,PH,PPBM,18695,34.5,Abd Ghani Ahmad  ,GS,PAS,12829,23.7,5866,Othman Aziz  ,BN,UMNO,54132,44822,82.8,885,82.8,5,Kedah,Government,Yes
P005,Jerlun,NA,Mukhriz Mahathir ,PH,PPBM,18695,34.5,Othman Aziz  ,BN,UMNO,12413,22.9,5866,Othman Aziz  ,BN,UMNO,54132,44822,82.8,885,82.8,5,Kedah,Government,Yes
P006,Kubang Pasu,NA,Amiruddin Hamzah ,PH,PPBM,29984,40.6,Mohd Johari Baharum  ,BN,UMNO,16975,23,13009,Mohd Johari Baharum  ,BN,UMNO,73860,61452,83.2,1118,83.2,6,Kedah,Government,Yes
P006,Kubang Pasu,NA,Amiruddin Hamzah ,PH,PPBM,29984,40.6,Norhafiza Fadzil  ,GS,PAS,13375,18.1,13009,Mohd Johari Baharum  ,BN,UMNO,73860,61452,83.2,1118,83.2,6,Kedah,Government,Yes
P007,Padang Terap,NA,Mahdzir Khalid  ,BN,UMNO,16384,35.1,Mohd Azam Abd Aziz  ,GS,PAS,15285,32.8,1099,Mahdzir Khalid  ,BN,UMNO,46649,39932,85.6,1009,85.6,7,Kedah,Opposition,Yes
P007,Padang Terap,NA,Mahdzir Khalid  ,BN,UMNO,16384,35.1,Mohd Khairizal Khazali  ,PH,PAN,7254,15.6,1099,Mahdzir Khalid  ,BN,UMNO,46649,39932,85.6,1009,85.6,7,Kedah,Opposition,Yes
P008,Pokok Sena,NA,Mahfuz Omar  ,PH,PAN,28959,33.3,Muhamad Radhi Mat Din  ,GS,PAS,23401,26.9,5558,Mahfuz Omar  ,PH,PAN,86847,71910,82.8,1160,82.8,8,Kedah,Government,Yes
P008,Pokok Sena,NA,Mahfuz Omar  ,PH,PAN,28959,33.3,Said Ali Said Rastan  ,BN,UMNO,18390,21.2,5558,Mahfuz Omar  ,PH,PAN,86847,71910,82.8,1160,82.8,8,Kedah,Government,Yes
P009,Alor Setar,Alor Star,Chan Ming Kai  ,PH,PKR,32475,40.5,Muhammad Aminur Shafiq Mohamad Abduh  ,GS,PAS,17275,21.5,15200,Gooi Hsiao-Leung  ,PH,PKR,80266,65096,81.1,1165,81.1,9,Kedah,Government,No
P009,Alor Setar,Alor Star,Chan Ming Kai  ,PH,PKR,32475,40.5,Yoo Wei How  ,BN,MCA,14181,17.7,15200,Gooi Hsiao-Leung  ,PH,PKR,80266,65096,81.1,1165,81.1,9,Kedah,Government,No
P010,Kuala Kedah,NA,Azman Ismail ,PH,PKR,36624,37.5,Mohd Riduan Othman  ,GS,PAS,23143,23.7,13481,Azman Ismail ,PH,PKR,97760,80555,82.4,1388,82.4,10,Kedah,Government,Yes
P010,Kuala Kedah,NA,Azman Ismail ,PH,PKR,36624,37.5,Abdullah Hasnan Kamaruddin  ,BN,UMNO,19400,19.8,13481,Azman Ismail ,PH,PKR,97760,80555,82.4,1388,82.4,10,Kedah,Government,Yes
P011,Pendang,NA,Awang Hashim  ,GS,PAS,26536,35.4,Othman Abdul  ,BN,UMNO,20728,27.7,5808,Othman Abdul  ,BN,UMNO,74906,63371,84.6,1125,84.6,11,Kedah,Opposition,Yes
P011,Pendang,NA,Awang Hashim  ,GS,PAS,26536,35.4,Wan Saiful Wan Jan ,PH,PPBM,14901,19.9,5808,Othman Abdul  ,BN,UMNO,74906,63371,84.6,1125,84.6,11,Kedah,Opposition,Yes
P011,Pendang,NA,Awang Hashim  ,GS,PAS,26536,35.4,Abdul Malik Manaf ,NA,IND,81,0.1,5808,Othman Abdul  ,BN,UMNO,74906,63371,84.6,1125,84.6,11,Kedah,Opposition,Yes
P012,Jerai,NA,Sabri Azit  ,GS,PAS,22312,27.9,Jamil Khir Baharom  ,BN,UMNO,21773,27.2,539,Jamil Khir Baharom  ,BN,UMNO,79952,66920,83.7,1184,83.7,12,Kedah,Opposition,Yes
P012,Jerai,NA,Sabri Azit  ,GS,PAS,22312,27.9,Akhramsyah Muammar Ubaidah Sanusi ,PH,PPBM,21651,27.1,539,Jamil Khir Baharom  ,BN,UMNO,79952,66920,83.7,1184,83.7,12,Kedah,Opposition,Yes
P013,Sik,NA,Ahmad Tarmizi Sulaiman  ,GS,PAS,20088,39.9,Mansor Abd Rahman  ,BN,UMNO,14870,29.5,5218,Mansor Abd Rahman  ,BN,UMNO,50379,42772,84.9,844,84.9,13,Kedah,Opposition,Yes
P013,Sik,NA,Ahmad Tarmizi Sulaiman  ,GS,PAS,20088,39.9,Azli Che Uda  ,PH,PAN,6970,13.8,5218,Mansor Abd Rahman  ,BN,UMNO,50379,42772,84.9,844,84.9,13,Kedah,Opposition,Yes
P014,Merbok,NA,Nor Azrina Surip ,PH,PKR,30902,35.2,Tajul Urus Mat Zain ,BN,UMNO,20830,23.7,10072,Ismail Daut ,BN,UMNO,87811,72708,82.8,1358,82.8,14,Kedah,Government,No
P014,Merbok,NA,Nor Azrina Surip ,PH,PKR,30902,35.2,Ahmad Fauzi Ramli  ,GS,PAS,19618,22.3,10072,Ismail Daut ,BN,UMNO,87811,72708,82.8,1358,82.8,14,Kedah,Government,No
P015,Sungai Petani,NA,Johari Abdul ,PH,PKR,45532,40.5,Shahanim Mohamad Yusoff ,BN,UMNO,23963,21.3,21569,Johari Abdul ,PH,PKR,112526,93847,83.4,1313,83.4,15,Kedah,Government,Yes
P015,Sungai Petani,NA,Johari Abdul ,PH,PKR,45532,40.5,Shahri Long  ,GS,PAS,22760,20.2,21569,Johari Abdul ,PH,PKR,112526,93847,83.4,1313,83.4,15,Kedah,Government,Yes
P015,Sungai Petani,NA,Johari Abdul ,PH,PKR,45532,40.5,Sritharan Pichathu  ,NA,PRM,279,0.2,21569,Johari Abdul ,PH,PKR,112526,93847,83.4,1313,83.4,15,Kedah,Government,Yes
P016,Baling,NA,Abdul Azeez Abdul Rahim  ,BN,UMNO,38557,36,Hassan Saad  ,GS,PAS,37483,34.9,1074,Abdul Azeez Abdul Rahim  ,BN,UMNO,107250,92128,85.9,1616,85.9,16,Kedah,Opposition,Yes
P016,Baling,NA,Abdul Azeez Abdul Rahim  ,BN,UMNO,38557,36,Mohd Taufik Yaacob ,PH,PPBM,14472,13.5,1074,Abdul Azeez Abdul Rahim  ,BN,UMNO,107250,92128,85.9,1616,85.9,16,Kedah,Opposition,Yes
P017,Padang Serai,NA,Karuppaiya Muthusamy  ,PH,PKR,31724,37.4,Muhd Sobri Osman  ,GS,PAS,22911,27,8813,Surendran K. Nagarajan  ,PH,PKR,84811,71157,83.9,1073,83.9,17,Kedah,Government,No
P017,Padang Serai,NA,Karuppaiya Muthusamy  ,PH,PKR,31724,37.4,Leong Yong Kong ,BN,MCA,15449,18.2,8813,Surendran K. Nagarajan  ,PH,PKR,84811,71157,83.9,1073,83.9,17,Kedah,Government,No
P018,Kulim-Bandar Baharu,NA,Saifuddin Nasution Ismail  ,PH,PKR,23159,34.8,Abd. Aziz Sheikh Fadzir  ,BN,UMNO,18299,27.5,4860,Abd. Aziz Sheikh Fadzir  ,BN,UMNO,66574,55390,83.2,1047,83.2,18,Kedah,Government,Yes
P018,Kulim-Bandar Baharu,NA,Saifuddin Nasution Ismail  ,PH,PKR,23159,34.8,Hassan Abdul Razak  ,GS,PAS,12885,19.4,4860,Abd. Aziz Sheikh Fadzir  ,BN,UMNO,66574,55390,83.2,1047,83.2,18,Kedah,Government,Yes
P019,Tumpat,NA,Che Abdullah Mat Nawi  ,GS,PAS,47041,42.4,Wan Johani Wan Hussin  ,BN,UMNO,29541,26.6,17500,Kamarudin Jaffar  ,PH,PKR,110916,88733,80,2148,80,19,Kelantan,Opposition,No
P019,Tumpat,NA,Che Abdullah Mat Nawi  ,GS,PAS,47041,42.4,"Nordin Salleh
",PH,PPBM,10003,9,17500,Kamarudin Jaffar  ,PH,PKR,110916,88733,80,2148,80,19,Kelantan,Opposition,No
P020,Pengkalan Chepa,NA,Ahmad Marzuk Shaary ,GS,PAS,32592,43.2,Zaluzi Sulaiman ,BN,UMNO,19360,25.7,13232,Izani Husin  ,GS,PAS,75417,60862,80.7,1475,80.7,20,Kelantan,Opposition,No
