"","state","seat","undi_keluar_peti","undi_dalam_peti","undi_tak_kembali","undi_tolak","majoriti","peratus_keluar","undi_rosak","pengundi_jumlah","pengundi_tidak_hadir","rosak_vs_keseluruhan","rosak_vs_majoriti","tidakhadir_vs_majoriti"
"1","Perlis","P.001 Padang Besar",37432,37280,152,780,1438,81.19999695,932,46098,8666,2.48984825817482,64.8122392211405,602.642559109875
"2","Perlis","P.002 Kangar",45703,45486,217,806,5603,81.69999695,1023,55940,10237,2.23836509638317,18.2580760306978,182.705693378547
"3","Perlis","P.003 Arau",40433,40290,143,690,4856,83.90000153,833,48191,7758,2.06019835283061,17.1540362438221,159.761120263591
"4","Kedah","P.004 Langkawi",35250,35131,119,604,8893,82.5999984741211,723,42675,7425,2.05106382978723,8.12998987968065,83.4926346564714
"5","Kedah","P.005 Jerlun",44822,44660,162,723,5866,82.8000030517578,885,54132,9310,1.97447681941904,15.0869416979202,158.711217183771
"6","Kedah","P.006 Kubang Pasu",61452,61104,348,770,13009,83.1999969482422,1118,73860,12408,1.81930612510577,8.594050272888,95.3801214543777
"7","Kedah","P.007 Padang Terap",39932,39777,155,854,1099,85.5999984741211,1009,46649,6717,2.52679555243915,91.810737033667,611.191992720655
"8","Kedah","P.008 Pokok Sena",71910,71619,291,869,5558,82.8000030517578,1160,86847,14937,1.61312752051175,20.8708168405901,268.747750989565
"9","Kedah","P.009 Alor Setar",65096,64812,284,881,15200,81.0999984741211,1165,80266,15170,1.78966449551432,7.66447368421053,99.8026315789474
"10","Kedah","P.010 Kuala Kedah",80555,80278,277,1111,13481,82.4000015258789,1388,97760,17205,1.72304636583701,10.295972108894,127.624063496773
"11","Kedah","P.011 Pendang",63371,63198,173,952,5808,84.5999984741211,1125,74906,11535,1.77525997696107,19.3698347107438,198.605371900826
"12","Kedah","P.012 Jerai",66920,66748,172,1012,539,83.6999969482422,1184,79952,13032,1.76927674835625,219.666048237477,2417.8107606679
"13","Kedah","P.013 Sik",42772,42657,115,729,5218,84.9000015258789,844,50379,7607,1.97325353034696,16.1747796090456,145.783825220391
"14","Kedah","P.014 Merbok",72708,72458,250,1108,10072,82.8000030517578,1358,87811,15103,1.86774495241239,13.482922954726,149.950357426529
"15","Kedah","P.015 Sungai Petani",93847,93423,424,889,21569,83.4000015258789,1313,112526,18679,1.39908574594819,6.08744030784923,86.6011405257545
"16","Kedah","P.016 Baling",92128,91900,228,1388,1074,85.9000015258789,1616,107250,15122,1.7540812782216,150.465549348231,1408.00744878957
"17","Kedah","P.017 Padang Serai",71157,70911,246,827,8813,83.9000015258789,1073,84811,13654,1.50793316188147,12.1751957335754,154.930216725292
"18","Kedah","P.018 Kulim-Bandar Baharu",55390,55237,153,894,4860,83.1999969482422,1047,66574,11184,1.89023289402419,21.5432098765432,230.123456790123
